Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
7/19/17,45.93693161,32.53882217,23.73165512,89.72000122,39.51211929,29.82240677,89.71884155,89.14674377,66.19956207,42.12386322,41.93405151,24.67047882,16.24040413,11.73539543,48.58642578,34.39975739,51.67366791,41.83228683,72.58500671,158.1787262,58.74939346,26.8118515,57.32725143,25.23009491
7/20/17,45.46706009,31.14074516,23.57136917,89.86600494,39.36188126,29.35442734,88.2383194,88.53234863,66.20774841,41.93902588,41.10358429,24.54597282,16.97522736,11.59169769,48.45523071,33.27429962,51.35967255,42.13994217,72.09480286,157.5419159,58.38351059,26.56878662,56.89749146,25.37542152
7/21/17,44.60102081,30.38381195,23.55251312,88.68073273,38.83377838,29.32690239,87.86579895,87.8234024,65.60182953,41.01485443,40.55304718,24.29694939,17.0825634,11.35219955,48.40275574,32.73604202,50.94383621,41.87843323,72.52371979,154.5798035,57.95665741,26.07330704,57.11657715,25.39156342
7/24/17,44.18642426,30.59753418,23.36394501,88.63779449,38.79735184,29.12502289,89.03111267,88.20149994,65.3971405,39.28665161,41.17824173,24.51929092,16.785326,11.38094044,48.59516525,32.47180557,50.41768265,42.20915985,72.34864044,154.4736633,57.86083221,26.21353912,57.0323143,25.56918716
7/25/17,45.01560974,31.3900795,23.68451309,89.65987396,39.74430084,30.26286697,91.42857361,89.67609406,65.72466278,39.4529953,42.33530045,25.4353199,16.71927643,11.82161617,48.997509,32.86326218,51.77550125,42.90136337,73.92429352,156.8858185,58.37480164,25.76479912,57.67275238,25.51267052
7/26/17,45.01560974,32.10248184,23.72222328,90.28688049,39.78982925,30.27204514,92.15451813,89.56265259,65.80654907,40.03522873,40.56238937,25.36417007,16.79358864,11.66833687,48.68264008,32.62838364,52.26771164,42.75523376,73.26779175,156.8858185,58.35736847,25.93307495,57.29354095,25.52074432
7/27/17,46.26860809,32.20043182,23.74108505,91.13716125,40.66392517,30.71250534,92.24047852,90.72531891,66.18317413,39.82266617,41.03827286,25.5865078,17.00542259,11.71623516,49.1112175,32.99048996,52.73446655,43.54742432,73.9768219,158.1401215,59.045578,26.83054543,56.95646667,25.81946754
7/28/17,46.07513809,33.03749466,24.042799,92.86354065,41.2102356,30.47391701,92.31689453,90.19597626,65.17607117,39.67480469,41.80341721,25.12404823,16.94726753,11.84077454,48.08787537,32.40330124,53.23516464,43.42435455,73.22400665,155.7376404,59.63796234,27.00816727,56.19807053,25.82754135
7/31/17,45.58683395,32.85049057,23.44880104,93.78256226,41.31039429,30.56568146,91.58139801,89.93130493,65.53633881,39.22195816,41.5608139,25.64875984,16.97219658,11.71623516,48.9712677,32.01183319,52.55625153,43.50896454,73.31154633,157.3682251,59.75990677,26.68096924,58.11936188,25.65799332
8/1/17,44.8313446,31.79080391,23.91080284,95.14820099,40.74587631,30.26286697,91.07516479,89.2885437,65.64277649,39.23120117,40.27311707,26.08454132,16.90573692,11.40967941,49.443573,31.19955063,52.21679306,43.63203049,74.95722961,157.5322571,60.11708832,26.4098568,57.99296188,25.60955429
